,Year,Unnamed: 6,Unnamed: 12,Unnamed: 20
272,2021.0,,,
273,1998.0,,,
274,2005.0,,,
275,2005.0,,,
276,2005.0,,,
277,2004.0,,,
278,2010.0,,,
279,2018.0,,,
280,2020.0,,,
281,2006.0,,,
282,2010.0,,,
283,2011.0,,,
284,2008.0,,,
285,2021.0,,,
286,2019.0,,,
287,2003.0,,,
288,2009.0,,,
289,2004.0,,,
290,2020.0,,,
291,2018.0,,,
292,2021.0,,,
293,2011.0,,,
294,2009.0,,,
295,1996.0,,,
296,2020.0,,,
297,2020.0,,,
298,2008.0,,,
299,2021.0,,,
300,2020.0,,,
301,2008.0,,,
302,2018.0,,,
303,2022.0,,,
304,2020.0,,,
305,2022.0,,,
306,2020.0,,,
307,2022.0,,,
308,2020.0,,,
309,2022.0,,,
310,2020.0,,,
311,2004.0,,,
312,2021.0,,,
313,2003.0,,,
314,2005.0,,,
315,1997.0,,,
316,2004.0,,,
317,2021.0,,,
318,2019.0,,,
319,2018.0,,,
320,2018.0,,,
321,2019.0,,,
322,2020.0,,,
323,2007.0,,,
324,2019.0,,,
325,2020.0,,,
326,2019.0,,,
327,2003.0,,,
328,2018.0,,,
329,2020.0,,,
330,2018.0,,,
331,2021.0,,,
332,2018.0,,,
333,2020.0,,,
334,2018.0,,,
335,2020.0,,,
336,2020.0,,,
337,2017.0,,,
338,2018.0,,,
339,2016.0,,,
340,2008.0,,,
341,2017.0,,,
342,2011.0,,,
343,2014.0,,,
344,2001.0,,,
345,2017.0,,,
346,2012.0,,,
347,2017.0,,,
348,2019.0,,,
349,2019.0,,,
350,2000.0,,,
351,2011.0,,,
352,2020.0,,,
353,2018.0,,,
354,2017.0,,,
355,2009.0,,,
356,2009.0,,,
357,2005.0,,,
358,2011.0,,,
359,2018.0,,,
360,2019.0,,,
361,2007.0,,,
362,2015.0,,,
363,1995.0,,,
364,2020.0,,,
365,2007.0,,,
366,2018.0,,,
367,1995.0,,,
368,2020.0,,,
369,2019.0,,,
370,2006.0,,,
371,2015.0,,,
372,2017.0,,,
373,2018.0,,,
374,2019.0,,,
375,2022.0,,,
376,2021.0,,,
377,2021.0,,,
378,2010.0,,,
379,2019.0,,,
380,2019.0,,,
381,2017.0,,,
382,1998.0,,,
383,2005.0,,,
384,2006.0,,,
385,2004.0,,,
386,2021.0,,,
387,2008.0,,,
388,2003.0,,,
389,2017.0,,,
390,2020.0,,,
391,2012.0,,,
392,2020.0,,,
393,2003.0,,,
394,2015.0,,,
395,2019.0,,,
396,2022.0,,,
397,2020.0,,,
398,2021.0,,,
399,2021.0,,,
400,2017.0,,,
401,2020.0,,,
402,2020.0,,,
403,2021.0,,,
404,2020.0,,,
405,2020.0,,,
406,2022.0,,,
407,2020.0,,,
408,2021.0,,,
409,2013.0,,,
410,2018.0,,,
411,2021.0,,,
412,2017.0,,,
413,2019.0,,,
414,2014.0,,,
415,2012.0,,,
416,2020.0,,,
417,2020.0,,,
418,2017.0,,,
419,2019.0,,,
420,2015.0,,,
421,1999.0,,,
422,2018.0,,,
423,2021.0,,,
424,2019.0,,,
425,2010.0,,,
426,2020.0,,,
427,2010.0,,,
428,2022.0,,,
429,2021.0,,,
430,2022.0,,,
431,2022.0,,,
432,2021.0,,,
433,2021.0,,,
434,2014.0,,,
435,2022.0,,,
436,2020.0,,,
437,2019.0,,,
438,2019.0,,,
439,2016.0,,,
440,2011.0,,,
441,2020.0,,,
442,2021.0,,,
443,2017.0,,,
444,2018.0,,,
445,2018.0,,,
446,2022.0,,,
447,2021.0,,,
448,2018.0,,,
449,2016.0,,,
450,2015.0,,,
451,2015.0,,,
452,2008.0,,,
453,2013.0,,,
454,2011.0,,,
455,2017.0,,,
456,2014.0,,,
457,1996.0,,,
458,2020.0,,,
459,2019.0,,,
460,2017.0,,,
461,1998.0,,,
462,2016.0,,,
463,2012.0,,,
464,2017.0,,,
465,1999.0,,,
466,2020.0,,,
467,2009.0,,,
468,2018.0,,,
469,2021.0,,,
470,2002.0,,,
471,2017.0,,,
472,1999.0,,,
473,2012.0,,,
474,2004.0,,,
475,2000.0,,,
476,2018.0,,,
477,2021.0,,,
478,2003.0,,,
479,2018.0,,,
480,2014.0,,,
481,2012.0,,,
482,2000.0,,,
483,2018.0,,,
484,2017.0,,,
485,2009.0,,,
486,2007.0,,,
487,2021.0,,,
488,2013.0,,,
489,1995.0,,,
490,,,,
491,2021.0,,,
492,2000.0,,,
493,2013.0,,,
494,2000.0,,,
495,1996.0,,,
496,2021.0,,,
497,2017.0,,,
498,2019.0,,,
499,1999.0,,,
500,2019.0,,,
501,1995.0,,,
502,2010.0,,,
503,2000.0,,,
504,2003.0,,,
505,2019.0,,,
506,2021.0,,,
507,2003.0,,,
508,2002.0,,,
509,2005.0,,,
510,1999.0,,,
511,1999.0,,,
512,1998.0,,,
513,2013.0,,,
514,2005.0,,,
515,2016.0,,,
516,2008.0,,,
517,2009.0,,,
518,2011.0,,,
519,2020.0,,,
520,2002.0,,,
521,2000.0,,,
522,2018.0,,,
523,1998.0,,,
524,2012.0,,,
525,2019.0,,,
526,2020.0,,,
527,2014.0,,,
528,2014.0,,,
529,2003.0,,,
530,2006.0,,,
531,2003.0,,,
532,2007.0,,,
533,2008.0,,,
534,2009.0,,,
535,2001.0,,,
536,2020.0,,,
537,2014.0,,,
538,2006.0,,,
539,2002.0,,,
540,2003.0,,,
